;;;;;858,9;;;19;16;16;18;15;16;17;17;18;13;16;16;21;19;;;;38,47%
CeBe PP;Nombre;Tipologia;Nombre del día;Hora;Trx;TRX/hora/prom;28;Promotor 1;Promotor 2;Promotor 3;Promotor 4;Promotor 5;Promotor 6;Promotor 7;Promotor 8;Promotor 9;Promotor 10;Promotor 11;Promotor 12;Promotor 13;Promotor 14;TRX P' Per;;;No Promotores por hora
1825PP050;Amarillo y Crema;Motera;lunes;7:00:00 p. m.;122,2;28;;X;X;X;;X;;;;;;;;X;;140;17,8;;5
1825PP050;Amarillo y Crema;Motera;lunes;8:00:00 p. m.;109,3;28;;;X;X;;X;;;;;;;;X;;112;2,7;;4
1825PP050;Amarillo y Crema;Motera;lunes;9:00:00 p. m.;73,4;28;;;;X;;X;;;;;;;;X;;84;10,6;;3
1825PP050;Amarillo y Crema;Motera;lunes;10:00:00 p. m.;55,1;28;;;;X;;;;;;;;;;X;;56;0,9;;2
1825PP050;Amarillo y Crema;Motera;lunes;11:00:00 p. m.;22,2;28;;;;X;;;;;;;;;;;;28;5,8;;1
1825PP050;Amarillo y Crema;Motera;martes;12:00:00 a. m.;12,5;28;;;;;;;X;;;;;;;;;28;15,5;;1
1825PP050;Amarillo y Crema;Motera;martes;1:00:00 a. m.;7;28;;;;;;;X;;;;;;;;;28;21;;1
1825PP050;Amarillo y Crema;Motera;martes;2:00:00 a. m.;7,9;28;;;;;;;X;;;;;;;;;28;20,1;;1
1825PP050;Amarillo y Crema;Motera;martes;3:00:00 a. m.;10,1;28;;;;;;;X;;;;;;;;;28;17,9;;1
1825PP050;Amarillo y Crema;Motera;martes;4:00:00 a. m.;18;28;;;;;;;X;;;;;;;;;28;10;;1
1825PP050;Amarillo y Crema;Motera;martes;5:00:00 a. m.;58,1;28;;;;;;;X;X;;;;;;;;56;-2,1;;2
1825PP050;Amarillo y Crema;Motera;martes;6:00:00 a. m.;118,5;28;;;;;;;X;X;X;X;;;;;;112;-6,5;;4
1825PP050;Amarillo y Crema;Motera;martes;7:00:00 a. m.;139,9;28;;;;;;;X;X;X;X;X;;;;;140;0,1;;5
1825PP050;Amarillo y Crema;Motera;martes;8:00:00 a. m.;125,9;28;;;;;;;X;X;X;X;X;;;;;140;14,1;;5
1825PP050;Amarillo y Crema;Motera;martes;9:00:00 a. m.;120,1;28;;;;;;;;X;X;X;X;;;;;112;-8,1;;4
1825PP050;Amarillo y Crema;Motera;martes;10:00:00 a. m.;115,2;28;;;;;;;;X;X;X;X;;;;;112;-3,2;;4
1825PP050;Amarillo y Crema;Motera;martes;11:00:00 a. m.;93,8;28;;;;;;;;X;X;X;X;;;;;112;18,2;;4
1825PP050;Amarillo y Crema;Motera;martes;12:00:00 p. m.;109,7;28;;;;;;;;X;X;X;X;;;;;112;2,3;;4
1825PP050;Amarillo y Crema;Motera;martes;1:00:00 p. m.;95;28;;;;;;;;;X;X;X;X;;;;112;17;;4
1825PP050;Amarillo y Crema;Motera;martes;2:00:00 p. m.;113,4;28;;;;;;;;;X;X;X;X;;;;112;-1,4;;4
1825PP050;Amarillo y Crema;Motera;martes;3:00:00 p. m.;119,2;28;;;;;;;;;;;X;X;X;X;;112;-7,2;;4
1825PP050;Amarillo y Crema;Motera;martes;4:00:00 p. m.;126,5;28;;X;;;;;;;;;;X;X;X;X;140;13,5;;5
1825PP050;Amarillo y Crema;Motera;martes;5:00:00 p. m.;134,1;28;;X;;;;;;;;;;X;X;X;X;140;5,9;;5
1825PP050;Amarillo y Crema;Motera;martes;6:00:00 p. m.;133,5;28;;X;;;;;;;;;;X;X;X;X;140;6,5;;5
1825PP050;Amarillo y Crema;Motera;martes;7:00:00 p. m.;130,8;28;;X;;;;;;;;;;X;X;X;X;140;9,2;;5
1825PP050;Amarillo y Crema;Motera;martes;8:00:00 p. m.;114,3;28;;X;;;;;;;;;;;X;X;X;112;-2,3;;4
1825PP050;Amarillo y Crema;Motera;martes;9:00:00 p. m.;86,2;28;;X;;;;;;;;;;;X;;X;84;-2,2;;3
1825PP050;Amarillo y Crema;Motera;martes;10:00:00 p. m.;53,8;28;;X;X;;;;;;;;;;;;;56;2,2;;2
1825PP050;Amarillo y Crema;Motera;martes;11:00:00 p. m.;26,6;28;;;X;;;;;;;;;;;;;28;1,4;;1
