;;;;;1382,130952;;;37;44;44;37;34;35;33;38;42;32;;;0,854545455
CeBe PP;Nombre;Tipologia;Nombre del día;Hora;Trx;TRX/hora/prom;;Promotor 1;Promotor 2;Promotor 3;Promotor 4;Promotor 5;Promotor 6;Promotor 7;Promotor 8;Promotor 9;Promotor 10;trxdelta;;No Promotores por hora
1825PP023;La Casona;Motera;martes;0,208333333;49,52006641;33,125;;;;;X;X;;;;;;16,47993359;;2
1825PP023;La Casona;Motera;martes;0,25;83,11060097;33,125;;;;;X;X;X;;;;;15,88939903;;3
1825PP023;La Casona;Motera;martes;0,291666667;95,57719111;33,125;;;;;X;X;X;;;;;3,422808887;;3
1825PP023;La Casona;Motera;martes;0,333333333;87,95871936;33,125;;;;;;X;X;X;;;;11,04128064;;3
1825PP023;La Casona;Motera;martes;0,375;74,79954087;33,125;;;;;;X;X;X;;;;24,20045913;;3
1825PP023;La Casona;Motera;martes;0,416666667;76,87730589;33,125;;;;;;X;X;X;;;;22,12269411;;3
1825PP023;La Casona;Motera;martes;0,458333333;72,37548168;33,125;;;;;;;X;X;;;;-6,375481676;;2
1825PP023;La Casona;Motera;martes;0,5;62,33295073;33,125;;;;;;;X;X;;;;3,667049274;;2
1825PP023;La Casona;Motera;martes;0,541666667;69,95142248;33,125;;;;;;;X;X;X;;;29,04857752;;3
1825PP023;La Casona;Motera;martes;0,583333333;66,83477494;33,125;;;;;;;X;;X;;;-0,834774945;;2
1825PP023;La Casona;Motera;martes;0,625;77,22360007;33,125;;;;;;;;;X;X;X;21,77639993;;3
1825PP023;La Casona;Motera;martes;0,666666667;90,72907272;33,125;;;;;;;;;X;X;X;8,270927277;;3
1825PP023;La Casona;Motera;martes;0,708333333;106,6586046;33,125;;;X;;;;;;X;X;X;25,34139543;;4
1825PP023;La Casona;Motera;martes;0,75;113,9307822;33,125;;;X;;;;;;X;X;X;18,06921784;;4
1825PP023;La Casona;Motera;martes;0,791666667;115,662253;33,125;;;X;;;;;;X;X;X;16,33774699;;4
1825PP023;La Casona;Motera;martes;0,833333333;96,9623678;33,125;;;X;;;;;;;X;X;2,037632205;;3
1825PP023;La Casona;Motera;martes;0,875;22,85541527;33,125;;;X;;;;;;;;X;43,14458473;;2
1825PP023;La Casona;Motera;martes;0,916666667;13,50547266;33,125;;;;;;;;;;;X;19,49452734;;1
1825PP023;La Casona;Motera;martes;0,958333333;9,349942609;33,125;;;;;;;;;;;X;23,65005739;;1
1825PP023;La Casona;Motera;miércoles;0;5,045034014;33,125;;X;;;;;;;;;;27,95496599;;1
1825PP023;La Casona;Motera;miércoles;0,041666667;0;33,125;;X;;;;;;;;;;33;;1
1825PP023;La Casona;Motera;miércoles;0,083333333;2,063877551;33,125;;X;;;;;;;;;;30,93612245;;1
1825PP023;La Casona;Motera;miércoles;0,125;1,375918367;33,125;;X;;;;;;;;;;31,62408163;;1
1825PP023;La Casona;Motera;miércoles;0,166666667;8,71414966;33,125;;X;;;;;;;;;;24,28585034;;1
1825PP023;La Casona;Motera;miércoles;0,208333333;46,78122449;33,125;;X;;X;;;;;;;;19,21877551;;2
1825PP023;La Casona;Motera;miércoles;0,25;90,35197279;33,125;;X;;X;;;;;;X;;8,648027211;;3
1825PP023;La Casona;Motera;miércoles;0,291666667;101,3593197;33,125;;X;X;X;;;;;;X;;30,64068027;;4
1825PP023;La Casona;Motera;miércoles;0,333333333;89,89333333;33,125;;;X;X;;;;;;X;;9,106666667;;3
1825PP023;La Casona;Motera;miércoles;0,375;77,96870748;33,125;;;X;X;;;;;;X;;21,03129252;;3
1825PP023;La Casona;Motera;miércoles;0,416666667;70,17183673;33,125;;;X;X;;;;;;X;;28,82816327;;3
1825PP023;La Casona;Motera;miércoles;0,458333333;64,66816327;33,125;;;X;X;;;;;;;;1,331836735;;2
1825PP023;La Casona;Motera;miércoles;0,5;63,2922449;33,125;;;X;X;;;;;;;;2,707755102;;2
1825PP023;La Casona;Motera;miércoles;0,541666667;67,87863946;33,125;;;X;X;;;;;;;;-1,878639456;;2
1825PP023;La Casona;Motera;miércoles;0,583333333;65,12680272;33,125;;;;X;X;;;;;;;0,873197279;;2
1825PP023;La Casona;Motera;miércoles;0,625;83,93102041;33,125;;;;;X;X;X;;;;;15,06897959;;3
1825PP023;La Casona;Motera;miércoles;0,666666667;92,64517007;33,125;;;;;X;X;X;;;;;6,354829932;;3
1825PP023;La Casona;Motera;miércoles;0,708333333;108,2389116;33,125;;;;;X;X;X;X;;;;23,76108844;;4
1825PP023;La Casona;Motera;miércoles;0,75;112,3666667;33,125;;;;;X;X;X;X;;;;19,63333333;;4
1825PP023;La Casona;Motera;miércoles;0,791666667;110,0734694;33,125;;;;;X;X;X;X;;;;21,92653061;;4
1825PP023;La Casona;Motera;miércoles;0,833333333;100,4420408;33,125;;;;;;X;X;X;;;;-1,442040816;;3
1825PP023;La Casona;Motera;miércoles;0,875;16,96965986;33,125;;;;;;;;X;;;;16,03034014;;1
1825PP023;La Casona;Motera;miércoles;0,916666667;17,42829932;33,125;;;;;;;;X;;;;15,57170068;;1
1825PP023;La Casona;Motera;miércoles;0,958333333;7,796870748;33,125;;;;;;;;X;;;;25,20312925;;1
1825PP023;La Casona;Motera;jueves;0;4,216194405;33,125;;;;;;;;;X;;;28,7838056;;1
1825PP023;La Casona;Motera;jueves;0,041666667;1,405398135;33,125;;;;;;;;;X;;;31,59460187;;1
1825PP023;La Casona;Motera;jueves;0,083333333;1,405398135;33,125;;;;;;;;;X;;;31,59460187;;1
1825PP023;La Casona;Motera;jueves;0,125;2,342330225;33,125;;;;;;;;;X;;;30,65766978;;1
1825PP023;La Casona;Motera;jueves;0,166666667;8,900854854;33,125;;;;;;;;;X;;;24,09914515;;1
1825PP023;La Casona;Motera;jueves;0,208333333;50,12586681;33,125;;;;;;;;;X;;X;15,87413319;;2
1825PP023;La Casona;Motera;jueves;0,25;85,72928623;33,125;;;;;;;;;X;X;X;13,27071377;;3
1825PP023;La Casona;Motera;jueves;0,291666667;93,69320899;33,125;;;;;;;;;X;X;X;5,306791009;;3
1825PP023;La Casona;Motera;jueves;0,333333333;61,36905189;33,125;;;;;;;;;;X;X;4,630948111;;2
1825PP023;La Casona;Motera;jueves;0,375;66,75641141;33,125;;;;;;;;;;X;X;-0,756411406;;2
1825PP023;La Casona;Motera;jueves;0,416666667;68,16180954;33,125;;;;;;;;;;X;X;-2,161809541;;2
1825PP023;La Casona;Motera;jueves;0,458333333;59,96365375;33,125;;;;;;;;;;X;X;6,036346246;;2
1825PP023;La Casona;Motera;jueves;0,5;66,05371234;33,125;;;;;;;;;;X;X;-0,053712339;;2
1825PP023;La Casona;Motera;jueves;0,541666667;62,30598398;33,125;;;;;;;;;;X;X;3,694016021;;2
1825PP023;La Casona;Motera;jueves;0,583333333;67,92757652;33,125;;X;;;;;;;;X;;-1,927576518;;2
1825PP023;La Casona;Motera;jueves;0,625;74,48610115;33,125;;X;X;X;;;;;;;;24,51389885;;3
1825PP023;La Casona;Motera;jueves;0,666666667;90,88241272;33,125;;X;X;X;;;;;;;;8,117587279;;3
1825PP023;La Casona;Motera;jueves;0,708333333;101,1886657;33,125;;X;X;X;;;;;;;;-2,18866571;;3
1825PP023;La Casona;Motera;jueves;0,75;96,50400526;33,125;;X;X;X;;;;;;;;2,495994739;;3
1825PP023;La Casona;Motera;jueves;0,791666667;107,7471903;33,125;;X;X;X;X;;;;;;;24,25280966;;4
1825PP023;La Casona;Motera;jueves;0,833333333;90,88241272;33,125;;X;X;;X;;;;;;;8,117587279;;3
1825PP023;La Casona;Motera;jueves;0,875;24,82870038;33,125;;;;;X;;;;;;;8,171299617;;1
1825PP023;La Casona;Motera;jueves;0,916666667;12,64858321;33,125;;;;;X;;;;;;;20,35141679;;1
1825PP023;La Casona;Motera;jueves;0,958333333;6,558524629;33,125;;;;;X;;;;;;;26,44147537;;1
1825PP023;La Casona;Motera;viernes;0;2,739806779;33,125;;;;;;X;;;;;;30,26019322;;1
